Timestamp,Open,High,Low,Close,Rsi,Cci
10/31/2018 15:00,170.53,171.25,170.26,170.82,,
10/31/2018 16:00,170.82,171.14,169.63,169.82,,
11/1/2018 10:00,170.07,170.66,168.98,169.56,,
11/1/2018 11:00,169.53,170.87,168.78,170.63,,
11/1/2018 12:00,170.64,171.43,170.25,171.01,,
11/1/2018 13:00,171.01,171.6,170.7,171.57,,
11/1/2018 14:00,171.55,172.08,171.27,171.72,,
11/1/2018 15:00,171.72,171.99,171.38,171.86,,
11/1/2018 16:00,171.86,172.24,171.54,172.06,,
11/2/2018 10:00,171.53,172.55,170.93,171.36,,
11/2/2018 11:00,171.34,171.45,169.2,170.28,,
11/2/2018 12:00,170.3,170.35,169.06,169.98,,
11/2/2018 13:00,169.98,170.07,168.3,168.68,,
11/2/2018 14:00,168.68,169.6,168.22,169.22,,-123.9327
11/2/2018 15:00,169.22,169.98,168.32,169.58,,-86.93041
11/2/2018 16:00,169.58,170,169.01,169.38,41.26214,-67.22053
11/5/2018 10:00,169.6,169.66,167.88,168.04,35.11278,-117.7356
11/5/2018 11:00,168.04,168.33,167.08,168.23,36.55656,-129.9389
11/5/2018 12:00,168.23,168.48,167.43,168,35.52609,-106.1433
11/5/2018 13:00,168.01,168.14,167.53,167.81,34.65696,-100.7205
11/5/2018 14:00,167.81,168.37,167.62,168.19,37.92772,-80.69338
11/5/2018 15:00,168.19,169.33,168.05,169.04,44.60678,-30.03808
11/5/2018 16:00,169.06,169.28,168.5,168.95,44.06613,-10.97891
11/6/2018 10:00,168.97,171.19,168.9,170.87,56.24935,139.2533
11/6/2018 11:00,170.86,170.9,169.77,169.87,50.12543,127.841
11/6/2018 12:00,169.88,170.25,169.35,169.93,50.47382,92.50794
11/6/2018 13:00,169.94,170.49,169.81,170.14,51.74445,102.4743
11/6/2018 14:00,170.15,170.41,169.81,169.87,49.9694,77.68228
11/6/2018 15:00,169.86,169.91,168.72,169.28,46.23692,17.57104
11/6/2018 16:00,169.28,170.4,169.04,170.26,52.57375,61.85929
11/7/2018 10:00,172.28,173,171.87,172.5,63.23925,201.8892
11/7/2018 11:00,172.5,174.37,172.4,173.99,68.33962,220.7659
11/7/2018 12:00,173.99,174.79,173.7,174.73,70.52673,199.2121
11/7/2018 13:00,174.72,174.76,174.2,174.54,69.2048,146.4078
11/7/2018 14:00,174.54,174.77,174.05,174.33,67.6946,111.4039
11/7/2018 15:00,174.33,175.03,174.33,174.64,68.77779,99.53382
11/7/2018 16:00,174.65,175.58,174.58,175.58,71.85901,100.4478
11/8/2018 10:00,174.86,175.21,174.11,175.13,68.38001,75.78706
11/8/2018 11:00,175.13,175.3,174.41,174.81,65.93532,67.37912
11/8/2018 12:00,174.82,175.08,174.35,174.81,63.4908,57.7021
11/8/2018 13:00,174.81,174.94,174.48,174.51,61.20006,49.00841
11/8/2018 14:00,174.51,174.65,173.96,174.52,61.2503,32.72666
11/8/2018 15:00,174.52,174.99,173.68,174.05,57.48663,13.64327
