Timestamp,Open,High,Low,Close,Rsi,Cci,
5/9/2017 0:00,138.05,138.63,137.93,138.32,,,
5/10/2017 0:00,138.4,138.45,137.91,138.4,,,
5/11/2017 0:00,138.02,138.33,137.38,138.29,,,
5/12/2017 0:00,138.35,138.63,138.23,138.6,,,
5/15/2017 0:00,138.66,139.12,138.53,139.04,,,
5/16/2017 0:00,139.4,139.64,138.99,139.62,,,
5/17/2017 0:00,138.51,138.77,136.05,136.07,,,
5/18/2017 0:00,136.02,137.72,135.87,137.26,,,
5/19/2017 0:00,137.75,138.42,137.66,137.84,,,
5/22/2017 0:00,138.15,139.08,138.1,139,,,
5/23/2017 0:00,139.41,139.42,138.78,139.14,,,
5/24/2017 0:00,139.56,139.85,139.17,139.78,,,
5/25/2017 0:00,140.31,141.33,140.01,140.97,,,
5/26/2017 0:00,141,141.28,140.81,141.22,,171.8916,
5/30/2017 0:00,141.15,141.51,141.06,141.34,,145.3527,
5/31/2017 0:00,141.84,141.84,140.57,141.29,64.29256,114.8352,
6/1/2017 0:00,141.58,141.9,140.98,141.84,66.21838,111.2377,
6/2/2017 0:00,142.34,143.49,142.11,143.46,71.15341,145.6845,
6/5/2017 0:00,143.44,143.68,143.23,143.43,70.94662,132.3394,
6/6/2017 0:00,143.26,143.73,142.65,142.86,66.96627,99.99745,
6/7/2017 0:00,143.26,143.54,142.6,143.42,68.81727,96.23357,
6/8/2017 0:00,143.74,143.8,142.79,143.57,69.3133,97.33608,
6/9/2017 0:00,143.74,143.9,138.11,139.98,49.15905,-40.29517,
6/12/2017 0:00,138.84,139.48,137.47,139.23,46.14061,-140.3442,
6/13/2017 0:00,140.01,140.56,139.28,140.36,51.02037,-78.17297,
6/14/2017 0:00,140.93,140.93,138.62,139.75,48.46754,-95.8432,
6/15/2017 0:00,138.34,139.28,137.49,139.13,45.95092,-134.9074,
6/16/2017 0:00,138.72,138.78,137.64,138.15,42.21925,-126.9294,
6/19/2017 0:00,139.45,140.59,139.28,140.46,52.09478,-39.65239,
6/20/2017 0:00,140.32,140.5,139.31,139.36,47.89672,-48.96856,
6/21/2017 0:00,139.68,140.81,139.59,140.74,53.01244,-20.11592,
6/22/2017 0:00,140.96,141.22,140.34,140.7,52.85043,1.41005,
6/23/2017 0:00,140.54,141.42,140.15,141.24,54.85585,20.99499,
6/26/2017 0:00,142.05,142.29,140.27,140.58,51.94766,39.91139,
6/27/2017 0:00,140.05,140.22,138.02,138.03,42.5596,-92.17964,
6/28/2017 0:00,138.54,140.14,137.74,140.02,50.13346,-42.07029,
6/29/2017 0:00,139.44,139.44,136.25,137.59,42.72511,-138.8032,
6/30/2017 0:00,137.98,138.67,137.19,137.64,42.91206,-118.483,
7/3/2017 0:00,138.27,138.43,136.1,136.19,38.94263,-145.0609,
7/5/2017 0:00,136.62,137.9,136.16,137.53,44.08971,-105.1578,
7/6/2017 0:00,136.48,137.06,135.8,136.29,40.67282,-124.5363,
7/7/2017 0:00,136.75,138.13,136.74,137.76,46.01419,-63.82604,
7/10/2017 0:00,137.84,138.99,137.5,138.66,49.03935,-19.49438,
7/11/2017 0:00,138.46,139.22,137.94,139.05,50.33801,1.477185,
7/12/2017 0:00,140.24,140.86,139.96,140.7,55.50432,92.6237,
7/13/2017 0:00,140.87,141.35,140.6,141.01,56.42157,115.1186,
7/14/2017 0:00,141.57,142.3,141.19,142.12,59.6306,147.5647,
7/17/2017 0:00,142.27,142.69,141.92,142.19,59.8315,150.3027,
7/18/2017 0:00,142.09,143.17,141.64,143.14,62.55482,129.1996,
7/19/2017 0:00,143.56,144.19,143.5,143.98,64.82562,134.9075,
7/20/2017 0:00,144.35,144.44,143.52,144.17,65.33767,115.1773,
7/21/2017 0:00,143.64,144.11,143.35,144.11,65.01582,95.14633,
7/24/2017 0:00,144.07,144.87,143.92,144.77,66.94482,100.3914,
7/25/2017 0:00,144.29,144.74,144.01,144.4,64.78802,85.92419,
7/26/2017 0:00,144.76,144.95,144.53,144.87,66.27438,90.78324,
7/27/2017 0:00,145.82,145.96,142.3,143.96,60.91316,60.17779,
7/28/2017 0:00,143.1,144.08,142.87,143.84,60.22128,33.31316,
7/31/2017 0:00,144.25,144.43,142.92,143.23,56.69616,18.9496,
8/1/2017 0:00,143.7,143.76,143.12,143.56,58.12425,4.467298,
8/2/2017 0:00,144.49,144.52,142.61,143.95,59.81107,8.300379,
8/3/2017 0:00,144.17,144.17,143.13,143.39,56.30394,-24.01357,
8/4/2017 0:00,143.65,143.97,143.06,143.65,57.54853,-45.98591,
8/7/2017 0:00,143.91,144.56,143.71,144.56,61.6643,64.18224,
8/8/2017 0:00,144.27,145.47,143.9,144.31,59.94484,98.48683,
8/9/2017 0:00,143.12,144.19,142.8,144.12,58.60728,-44.75325,
8/10/2017 0:00,143.33,143.4,140.89,141.03,42.13952,-260.3018,
8/11/2017 0:00,141.22,142.41,140.9,142.1,47.62735,-208.3235,
8/14/2017 0:00,143.23,144.15,143.19,143.93,55.41572,21.51162,
8/15/2017 0:00,144.29,144.3,143.64,144.03,55.80254,61.589,
8/16/2017 0:00,144.39,144.96,143.8,144.28,56.8113,104.0154,
8/17/2017 0:00,143.73,143.94,141.33,141.33,44.0384,-127.4631,
8/18/2017 0:00,141.41,142.2,140.65,141.23,43.67987,-149.5198,
8/21/2017 0:00,141.22,141.53,140.18,141.05,43.0013,-136.4564,
8/22/2017 0:00,141.81,143.35,141.76,143.2,52.49461,-17.07832,
8/23/2017 0:00,142.5,143.01,142.38,142.69,50.35229,-18.20403,
8/24/2017 0:00,143.01,143.17,141.47,142.27,48.5935,-37.51529,
8/25/2017 0:00,142.82,143.18,141.78,141.97,47.32198,-30.91552,
8/28/2017 0:00,142.41,142.74,141.95,142.41,49.41272,-18.48506,
8/29/2017 0:00,141.19,143.21,141.06,142.97,52.02261,-8.045977,
8/30/2017 0:00,143.09,144.89,143,144.65,58.87703,123.3788,
8/31/2017 0:00,145.06,146.21,144.98,146.2,63.9889,181.9431,
9/1/2017 0:00,146.39,146.59,145.61,146,62.90238,156.713,
9/5/2017 0:00,145.57,145.88,143.6,144.69,56.17413,78.21301,
9/6/2017 0:00,145.06,145.46,144.08,145.13,57.80662,81.58686,
9/7/2017 0:00,145.4,145.84,144.94,145.47,59.07517,88.4352,
9/8/2017 0:00,145.28,145.35,144.06,144.21,52.74618,40.901,
9/11/2017 0:00,145.3,146.12,145.3,145.87,58.98114,88.18389,
9/12/2017 0:00,146.25,146.41,145.53,146.22,60.17435,91.01228,
9/13/2017 0:00,145.95,146.44,145.73,146.42,60.87471,88.55235,
9/14/2017 0:00,145.85,146.29,145.47,145.56,56.2906,60.01837,
9/15/2017 0:00,145.56,146.59,145.29,146.06,58.25867,64.98676,
9/18/2017 0:00,145.91,146.37,145.11,145.55,55.51305,36.43226,
9/19/2017 0:00,145.81,146.01,145.31,145.8,56.59299,28.46391,
9/20/2017 0:00,145.75,145.91,144.23,145.35,54.0496,-60.00007,
9/21/2017 0:00,145.25,145.26,143.95,144.46,49.3278,-121.1297,
9/22/2017 0:00,144,144.53,143.85,144.32,48.60844,-131.8107,
9/25/2017 0:00,143.75,143.83,142.1,142.8,41.52745,-217.0688,
9/26/2017 0:00,143.53,143.8,142.67,143.17,43.67822,-146.2855,
9/27/2017 0:00,143.93,145,143.57,144.46,50.51287,-49.61388,
9/28/2017 0:00,144.14,144.56,143.78,144.41,50.25828,-53.61399,
9/29/2017 0:00,144.7,145.56,144.32,145.45,55.30399,12.89268,
10/2/2017 0:00,145.67,146.17,144.93,145.58,55.90612,51.57222,
10/3/2017 0:00,145.77,146.06,145.45,145.89,57.38052,74.85613,
10/4/2017 0:00,145.6,146.34,145.47,146.03,58.06253,84.65336,
10/5/2017 0:00,146.54,147.54,146.41,147.46,64.33973,159.7254,
10/6/2017 0:00,146.96,147.66,146.96,147.66,65.12593,153.6761,
10/9/2017 0:00,147.86,148.01,147.3,147.49,63.83759,136.8058,
10/10/2017 0:00,147.98,148.14,146.95,147.6,64.32932,109.4538,
10/11/2017 0:00,147.53,148.07,147.34,148.04,66.30305,103.4513,
10/12/2017 0:00,147.82,148.35,147.62,147.77,63.96418,92.98111,
10/13/2017 0:00,148.37,148.51,147.78,148.34,66.63971,92.74751,
10/16/2017 0:00,148.71,148.89,148.39,148.85,68.86706,105.6028,
10/17/2017 0:00,148.8,149.06,148.57,149.04,69.6792,106.4106,
10/18/2017 0:00,149.19,149.21,148.64,148.86,67.87277,103.7909,
10/19/2017 0:00,148.02,148.33,147.27,148.31,62.53754,35.31284,
