Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14,,,,,,
9/3/2019 9:58,,,,,,9/3/2019 10:28,185.59,185.66,185.41,185.66,38.71981,-56.79658
9/3/2019 9:59,,,,,,9/3/2019 10:30,185.65,186,185.63,185.99,47.12134,99.07454
9/3/2019 10:00,,,,,,9/3/2019 10:32,185.98,185.98,185.72,185.72,42.04248,107.0577
9/3/2019 10:01,,,,,,9/3/2019 10:34,185.73,185.85,185.66,185.69,41.50719,59.0206
9/3/2019 10:02,,,,,,9/3/2019 10:36,185.69,185.84,185.56,185.64,40.57975,13.62468
9/3/2019 10:03,,,,,,9/3/2019 10:38,185.64,185.88,185.64,185.73,43.04635,61.37291
9/3/2019 10:04,,,,,,9/3/2019 10:40,185.74,185.83,185.69,185.79,44.69461,68.48605
9/3/2019 10:05,,,,,,9/3/2019 10:42,185.79,186.49,185.73,186.42,58.33129,283.1613
9/3/2019 10:06,,,,,,9/3/2019 10:44,186.41,186.44,186.17,186.24,54.21808,224.9192
9/3/2019 10:07,,,,,,9/3/2019 10:46,186.24,186.3,186.12,186.24,50.39141,143.4066
9/3/2019 10:08,,,,,,9/3/2019 10:48,186.24,186.25,185.97,185.99,45.57952,71.83679
9/3/2019 10:09,,,,,,9/3/2019 10:50,185.99,186.3,185.97,186.19,49.71623,82.27261
9/3/2019 10:10,,,,,,9/3/2019 10:52,186.19,186.28,186.13,186.24,50.72474,84.82965
9/3/2019 10:11,,,,,,9/3/2019 10:54,186.24,186.41,186.19,186.33,52.56861,95.28484
9/3/2019 10:12,,,,,,9/3/2019 10:56,186.34,186.4,186.29,186.39,53.80954,97.33844
9/3/2019 10:13,,,,,,9/3/2019 10:58,186.39,186.43,186.29,186.37,53.30875,87.02089
9/3/2019 10:14,,,,,,9/3/2019 11:00,186.37,186.46,186.29,186.46,55.32356,89.06658
9/3/2019 10:15,,,,,,9/3/2019 11:02,186.46,186.46,186.31,186.37,52.86679,77.53171
9/3/2019 10:16,,,,,,9/3/2019 11:04,186.38,186.43,186.2,186.23,49.20669,39.11588
9/3/2019 10:17,,,,,,9/3/2019 11:06,186.24,186.31,186.11,186.17,47.68311,-20.40495
9/3/2019 10:18,,,,,,9/3/2019 11:08,186.17,186.31,186.14,186.29,50.95396,-15.58595
9/3/2019 10:19,,,,,,9/3/2019 11:10,186.26,186.32,186.08,186.12,46.5169,-74.27508
9/3/2019 10:20,,,,,,9/3/2019 11:12,186.12,186.16,185.76,185.78,39.17028,-219.7258
9/3/2019 10:21,,,,,,9/3/2019 11:14,185.77,185.78,185.56,185.68,37.30402,-242.0592
9/3/2019 10:22,,,,,,9/3/2019 11:16,185.66,185.74,185.56,185.71,38.25484,-182.5052
9/3/2019 10:23,,,,,,9/3/2019 11:18,185.7,185.89,185.66,185.72,38.58883,-114.664
9/3/2019 10:24,,,,,,9/3/2019 11:20,185.71,185.85,185.68,185.85,42.91432,-84.07227
9/3/2019 10:25,,,,,,9/3/2019 11:22,185.83,185.97,185.78,185.91,44.84509,-49.92074
9/3/2019 10:26,,,,,,9/3/2019 11:24,185.91,185.96,185.88,185.89,44.30701,-36.60809
9/3/2019 10:27,,,,,,9/3/2019 11:26,185.89,186.03,185.83,185.88,44.0228,-29.13977
9/3/2019 10:28,,,,,,9/3/2019 11:28,185.88,186.05,185.87,186.01,48.63749,-2.191632
9/3/2019 10:29,,,,,,9/3/2019 11:30,186.01,186.14,185.79,185.99,47.98243,7.971925
9/3/2019 10:30,,,,,,9/3/2019 11:32,185.99,186.28,185.92,186.02,49.09059,62.3311
9/3/2019 10:31,,,,,,9/3/2019 11:34,186.02,186.07,185.75,186.01,48.71764,12.23703
9/3/2019 10:32,,,,,,9/3/2019 11:36,186,186.19,185.98,186.15,53.98326,116.4909
9/3/2019 10:33,,,,,,9/3/2019 11:38,186.13,186.21,186.13,186.17,54.69903,154.6102
9/3/2019 10:34,,,,,,9/3/2019 11:40,186.17,186.23,186.11,186.17,55.44537,123.879
9/3/2019 10:35,,,,,,9/3/2019 11:42,186.17,186.2,186.08,186.14,54.00838,95.0776
9/3/2019 10:36,,,,,,9/3/2019 11:44,186.14,186.2,186.08,186.08,51.15295,72.00352
9/3/2019 10:37,,,,,,9/3/2019 11:46,186.08,186.2,185.99,186.04,49.28183,37.43829
9/3/2019 10:38,,,,,,9/3/2019 11:48,186.04,186.46,186.01,186.35,61.14266,145.0321
9/3/2019 10:39,,,,,,9/3/2019 11:50,186.34,186.42,186.3,186.42,63.23322,182.7433
9/3/2019 10:40,,,,,,9/3/2019 11:52,186.41,186.42,186.31,186.33,58.84904,141.5433
9/3/2019 10:41,,,,,,9/3/2019 11:54,186.33,186.37,186.27,186.31,57.88828,101.5408
9/3/2019 10:42,,,,,,9/3/2019 11:56,186.3,186.34,186.22,186.23,54.08535,59.23156
9/3/2019 10:43,,,,,,9/3/2019 11:58,186.23,186.24,186.1,186.22,53.61151,1.996594
9/3/2019 10:44,,,,,,9/3/2019 12:00,186.22,186.23,186.12,186.13,49.41348,-21.98815
9/3/2019 10:45,,,,,,9/3/2019 12:02,186.13,186.17,186.05,186.08,47.20189,-81.3103
9/3/2019 10:46,,,,,,9/3/2019 12:04,186.09,186.22,186.04,186.22,53.47979,-37.38708
9/3/2019 10:47,,,,,,9/3/2019 12:06,186.23,186.3,186.17,186.21,52.99533,14.7117
9/3/2019 10:48,,,,,,9/3/2019 12:08,186.2,186.25,186.08,186.1,47.85695,-52.18888
9/3/2019 10:49,,,,,,9/3/2019 12:10,186.08,186.11,185.88,185.94,41.54671,-159.432
9/3/2019 10:50,,,,,,9/3/2019 12:12,185.94,186.02,185.92,185.98,43.55028,-140.1121
9/3/2019 10:51,,,,,,9/3/2019 12:14,185.97,185.99,185.89,185.93,41.62902,-143.5177
9/3/2019 10:52,,,,,,9/3/2019 12:16,185.93,186.03,185.92,185.97,43.76664,-102.8207
9/3/2019 10:53,,,,,,9/3/2019 12:18,185.98,186,185.9,185.96,43.33965,-95.99265
9/3/2019 10:54,,,,,,9/3/2019 12:20,185.96,186.06,185.96,186.03,47.22282,-50.30013
9/3/2019 10:55,,,,,,9/3/2019 12:22,186.04,186.12,186.01,186.03,50.85036,-18.51677
9/3/2019 10:56,,,,,,9/3/2019 12:24,186.03,186.06,185.91,185.98,48.29641,-58.33044
