Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14
6/7/2019 11:45:00 AM,181.02,181.22,180.85,181.17,,
6/7/2019 12:00:00 PM,181.17,181.32,181.01,181.06,,
6/7/2019 12:15:00 PM,181.03,181.13,180.9,181.07,,
6/7/2019 12:30:00 PM,181.08,181.25,180.99,181.25,,
6/7/2019 12:45:00 PM,181.24,181.32,181.02,181.25,,
6/7/2019 1:00:00 PM,181.25,181.44,181.17,181.42,,
6/7/2019 1:15:00 PM,181.42,181.5,181.25,181.34,,
6/7/2019 1:30:00 PM,181.34,181.47,181.07,181.16,,
6/7/2019 1:45:00 PM,181.16,181.4,181.16,181.36,,
6/7/2019 2:00:00 PM,181.36,181.39,181.21,181.38,,
6/7/2019 2:15:00 PM,181.38,181.38,181.13,181.33,,
6/7/2019 2:30:00 PM,181.33,181.47,181.26,181.35,,
6/7/2019 2:45:00 PM,181.35,181.41,181.26,181.3,,
6/7/2019 3:00:00 PM,181.29,181.34,180.94,180.98,,-96.86572
6/7/2019 3:15:00 PM,180.98,181.17,180.97,181.13,,-95.88673
6/7/2019 3:30:00 PM,181.14,181.33,181.02,181.26,52.69448,-23.82264
6/7/2019 3:45:00 PM,181.26,181.32,181.14,181.16,49.50256,-35.01632
6/7/2019 4:00:00 PM,181.17,181.17,180.9,181.01,45.08982,-157.3225
6/10/2019 9:45:00 AM,182.23,183.37,182.21,183.22,77.25626,466.5941
6/10/2019 10:00:00 AM,183.22,183.46,182.8,183.25,77.44936,251.0518
6/10/2019 10:15:00 AM,183.24,183.71,183.12,183.65,79.89997,185.0434
6/10/2019 10:30:00 AM,183.66,183.96,183.6,183.81,80.79885,150.7317
6/10/2019 10:45:00 AM,183.81,184,183.59,183.96,81.62836,119.4814
6/10/2019 11:00:00 AM,183.96,184.25,183.93,183.93,80.87552,106.2414
6/10/2019 11:15:00 AM,183.93,184.36,183.89,184.33,83.11114,96.84818
6/10/2019 11:30:00 AM,184.33,184.45,184.22,184.32,82.85053,90.4162
6/10/2019 11:45:00 AM,184.32,184.73,184.3,184.72,84.89225,92.93853
6/10/2019 12:00:00 PM,184.72,184.85,184.59,184.7,84.35138,91.8335
6/10/2019 12:15:00 PM,184.71,184.75,184.45,184.46,77.93607,76.34434
6/10/2019 12:30:00 PM,184.47,184.54,184.04,184.18,71.13783,51.65238
6/10/2019 12:45:00 PM,184.17,184.2,183.83,184.07,68.60642,25.92979
6/10/2019 1:00:00 PM,184.07,184.07,183.77,183.82,63.10918,-16.74688
6/10/2019 1:15:00 PM,183.82,184.17,183.82,184.09,66.25398,-8.053474
6/10/2019 1:30:00 PM,184.07,184.12,183.8,183.87,61.64272,-46.31949
6/10/2019 1:45:00 PM,183.86,183.99,183.67,183.68,57.89499,-94.0312
6/10/2019 2:00:00 PM,183.69,183.78,183.58,183.73,58.60821,-111.557
6/10/2019 2:15:00 PM,183.73,183.75,183.16,183.24,49.72033,-165.0246
6/10/2019 2:30:00 PM,183.24,183.47,182.97,183.41,52.41644,-151.5196
6/10/2019 2:45:00 PM,183.39,183.55,183.36,183.51,53.97958,-96.18108
6/10/2019 3:00:00 PM,183.51,183.7,183.5,183.68,56.5905,-59.42376
6/10/2019 3:15:00 PM,183.67,183.78,183.45,183.46,52.44406,-62.69694
6/10/2019 3:30:00 PM,183.45,183.64,183.23,183.29,49.42972,-89.9326
6/10/2019 3:45:00 PM,183.29,183.68,183.16,183.24,48.5462,-87.69202
6/10/2019 4:00:00 PM,183.24,183.34,183,183.15,46.91989,-124.8864
6/11/2019 9:45:00 AM,185.08,185.4,184.27,184.61,66.5148,244.8396
6/11/2019 10:00:00 AM,184.62,184.88,184.32,184.59,66.15445,163.578
6/11/2019 10:15:00 AM,184.57,185.06,184.23,184.39,62.50835,131.7055
6/11/2019 10:30:00 AM,184.39,184.84,184.34,184.84,66.92542,120.2546
6/11/2019 10:45:00 AM,184.84,184.86,184.17,184.17,56.29155,68.56486
