Timestamp,Open,High,Low,Close,Rsi,Cci
12/31/2019 2:11:00 PM,212.08,212.09,212.05,212.06,0.00,0.00
12/31/2019 2:12:00 PM,212.06,212.07,212.05,212.06,0.00,0.00
12/31/2019 2:13:00 PM,212.06,212.07,212.05,212.06,0.00,0.00
12/31/2019 2:14:00 PM,212.06,212.07,212.02,212.02,0.00,0.00
12/31/2019 2:15:00 PM,212.02,212.02,211.98,212.00,0.00,0.00
12/31/2019 2:16:00 PM,212.00,212.00,211.98,211.99,0.00,0.00
12/31/2019 2:17:00 PM,211.99,212.01,211.96,211.96,0.00,0.00
12/31/2019 2:18:00 PM,211.96,212.00,211.94,211.99,0.00,0.00
12/31/2019 2:19:00 PM,211.99,212.00,211.83,211.96,0.00,0.00
12/31/2019 2:20:00 PM,211.96,212.00,211.95,211.98,0.00,0.00
12/31/2019 2:21:00 PM,211.98,212.03,211.97,212.02,0.00,0.00
12/31/2019 2:22:00 PM,212.02,212.06,212.01,212.06,0.00,0.00
12/31/2019 2:23:00 PM,212.05,212.09,212.05,212.08,0.00,0.00
12/31/2019 2:24:00 PM,212.08,212.09,212.05,212.07,0.00,85.97
12/31/2019 2:25:00 PM,212.07,212.08,212.05,212.05,0.00,70.73
12/31/2019 2:26:00 PM,212.06,212.10,212.05,212.09,54.29,98.82
12/31/2019 2:27:00 PM,212.08,212.08,212.06,212.07,51.14,79.77
12/31/2019 2:28:00 PM,212.08,212.08,212.07,212.07,48.14,76.09
12/31/2019 2:29:00 PM,212.07,212.10,212.07,212.10,52.63,87.33
12/31/2019 2:30:00 PM,212.10,212.13,212.10,212.12,55.41,110.98
12/31/2019 2:31:00 PM,212.12,212.14,212.10,212.13,56.77,110.37
12/31/2019 2:32:00 PM,212.13,212.13,212.10,212.12,54.96,95.47
12/31/2019 2:33:00 PM,212.12,212.14,212.10,212.12,53.13,104.51
12/31/2019 2:34:00 PM,212.12,212.14,212.12,212.13,54.75,111.21
12/31/2019 2:35:00 PM,212.13,212.17,212.12,212.17,60.61,141.85
12/31/2019 2:36:00 PM,212.16,212.20,212.16,212.16,58.57,156.27
12/31/2019 2:37:00 PM,212.17,212.19,212.16,212.18,61.37,137.89
12/31/2019 2:38:00 PM,212.18,212.18,212.15,212.15,55.33,92.48
12/31/2019 2:39:00 PM,212.16,212.16,212.14,212.15,50.02,60.96
12/31/2019 2:40:00 PM,212.15,212.16,212.14,212.16,51.68,58.64
12/31/2019 2:41:00 PM,212.16,212.16,212.15,212.16,53.36,56.59
12/31/2019 2:42:00 PM,212.15,212.20,212.15,212.19,58.05,108.01
12/31/2019 2:43:00 PM,212.20,212.21,212.18,212.18,56.02,130.26
12/31/2019 2:44:00 PM,212.18,212.18,212.17,212.17,54.00,68.31
12/31/2019 2:45:00 PM,212.17,212.18,212.16,212.17,51.98,48.41
12/31/2019 2:46:00 PM,212.17,212.20,212.17,212.18,53.84,88.57
12/31/2019 2:47:00 PM,212.18,212.19,212.17,212.18,55.69,66.47
12/31/2019 2:48:00 PM,212.18,212.20,212.17,212.20,59.21,111.18
