Timestamp,Open,High,Low,Close,Rsi,Cci,Volume
10/10/2018 3:00:00 PM,46.4,49.23,46.32,48.67,,,3698700
10/10/2018 4:00:00 PM,48.63,52.56,48.63,52.31,,,5775900
10/11/2018 10:00:00 AM,51.22,54.25,49.16,49.44,,,5531200
10/11/2018 11:00:00 AM,49.48,53.82,49.43,53.62,,,4982700
10/11/2018 12:00:00 PM,53.66,56.1,51.57,52.45,,,3986000
10/11/2018 1:00:00 PM,52.48,53.18,50.29,52.67,,,4182100
10/11/2018 2:00:00 PM,52.67,54.46,51.85,53.29,,,2302800
10/11/2018 3:00:00 PM,53.31,62.88,52.31,60.16,,,6757300
10/11/2018 4:00:00 PM,60.16,60.92,54.95,59.1,,,5882300
10/12/2018 10:00:00 AM,50.97,53.3,50.75,51.98,,,2604700
10/12/2018 11:00:00 AM,51.98,54.31,51.5,53.22,,,3153300
10/12/2018 12:00:00 PM,53.14,55.64,52.7,55.05,,,2301200
10/12/2018 1:00:00 PM,55.05,60.19,54.96,58.29,,,4177300
10/12/2018 2:00:00 PM,58.32,59.79,56.18,57.45,,104.6598,3090700
10/12/2018 3:00:00 PM,57.45,59.76,56.01,56.24,,77.00827,2351100
10/12/2018 4:00:00 PM,56.15,56.9,51.37,52.3,54.53184,-30.55264,2293700
10/15/2018 10:00:00 AM,54.28,55.77,53.75,54.8,57.39584,-3.472556,2295400
10/15/2018 11:00:00 AM,54.82,56.15,54.3,54.57,57.03987,-2.427933,1832600
10/15/2018 12:00:00 PM,54.52,54.79,52.58,54.16,56.36872,-41.91331,1578800
10/15/2018 1:00:00 PM,54.25,54.75,53.11,53.58,55.37609,-49.25763,885700
10/15/2018 2:00:00 PM,53.46,53.98,52.08,52.34,53.2184,-82.36539,993300
10/15/2018 3:00:00 PM,52.3,53.56,51.55,51.89,52.42014,-91.83985,1343500
10/15/2018 4:00:00 PM,51.89,53.53,51.47,53.47,54.97387,-66.73212,1532100
10/16/2018 10:00:00 AM,50.8,51.79,50.52,50.72,49.94886,-135.9371,2293400
10/16/2018 11:00:00 AM,50.7,51.22,50.08,50.15,48.9501,-137.0933,2496300
10/16/2018 12:00:00 PM,50.15,50.53,49.15,49.61,47.97146,-136.0573,1429100
10/16/2018 1:00:00 PM,49.52,50.14,49.22,49.39,47.55433,-123.8606,869700
10/16/2018 2:00:00 PM,49.39,49.6,48.72,49.27,47.31266,-120.1982,823700
10/16/2018 3:00:00 PM,49.21,49.25,48.29,48.85,46.42344,-113.8293,1465800
10/16/2018 4:00:00 PM,48.85,49.03,47.5,47.96,44.51422,-112.9318,2161000
10/17/2018 10:00:00 AM,47.64,49.65,47.64,49.65,48.81862,-76.19843,1340400
10/17/2018 11:00:00 AM,49.66,52.62,49.23,51.9,53.94158,13.5622,2971200
10/17/2018 12:00:00 PM,51.95,52.76,49.35,49.38,48.1308,-8.499552,2132300
10/17/2018 1:00:00 PM,49.35,49.6,48.34,48.88,47.04786,-72.99319,1250900
10/17/2018 2:00:00 PM,48.83,49.55,48.27,49.32,48.15338,-59.03604,675800
10/17/2018 3:00:00 PM,49.42,51.04,48.55,48.71,46.69777,-28.96618,1669400
10/17/2018 4:00:00 PM,48.71,49.64,48.28,48.73,46.75461,-62.56495,1139100
10/18/2018 10:00:00 AM,49.58,50.9,49.48,50.34,51.25974,71.55347,2296900
10/18/2018 11:00:00 AM,50.39,50.99,49.64,49.95,50.15275,71.49732,2552500
10/18/2018 12:00:00 PM,49.93,54.16,49.78,53.45,58.76015,209.0147,4428500
10/18/2018 1:00:00 PM,53.49,54.04,52.02,52.86,56.97416,176.9118,2003800
10/18/2018 2:00:00 PM,52.86,56.1,52.62,55.05,61.63541,195.7637,2556000
10/18/2018 3:00:00 PM,55.08,55.36,53.03,53.93,58.16491,133.7335,1731500
10/18/2018 4:00:00 PM,53.86,54.84,52.86,53.49,56.81154,98.03118,1944300
10/19/2018 10:00:00 AM,52.65,53.18,51.08,51.49,51.00243,23.8995,1315400
10/19/2018 11:00:00 AM,51.43,52.18,50.75,51.62,51.35064,7.489529,1396300
10/19/2018 12:00:00 PM,51.62,52.49,51,51.53,51.07999,10.59004,1668400
10/19/2018 1:00:00 PM,51.57,55.18,51.37,54.09,57.88031,75.6191,3362700
10/19/2018 2:00:00 PM,54.1,54.96,52.84,54.08,57.84649,81.23121,2374700
10/19/2018 3:00:00 PM,54.1,55.5,53.74,54.57,59.10761,97.07859,2204500
10/19/2018 4:00:00 PM,54.57,55.15,52.37,52.78,52.88339,34.9904,2218500
10/22/2018 10:00:00 AM,52.13,54.86,51.97,54.56,57.65827,47.46602,2281700
10/22/2018 11:00:00 AM,54.52,56.73,53.53,54.02,55.81044,104.0837,2903000
10/22/2018 12:00:00 PM,54.06,55.45,53.81,55.18,58.86049,97.59213,1791500
10/22/2018 1:00:00 PM,55.18,56,54.46,54.75,57.28215,102.7824,1285500
10/22/2018 2:00:00 PM,54.82,55,53.78,54.65,56.90002,59.89901,928400
10/22/2018 3:00:00 PM,54.65,54.86,53.32,53.7,53.26476,22.42126,877900
10/22/2018 4:00:00 PM,53.7,53.86,52.65,53.38,52.05827,-24.32995,1229800
10/23/2018 10:00:00 AM,60.08,61.08,58.64,60.21,68.47272,318.1604,3094900
10/23/2018 11:00:00 AM,60.21,62.68,59.8,60.32,68.65884,249.0732,3940000
10/23/2018 12:00:00 PM,60.33,61.19,59.06,61.19,70.15927,156.0788,1770700
10/23/2018 1:00:00 PM,61.2,61.2,57.61,58.8,61.45515,90.64388,1324500
10/23/2018 2:00:00 PM,58.88,59.2,57.01,58.92,61.71199,56.24625,1614200
10/23/2018 3:00:00 PM,58.98,59,55.16,55.58,51.43802,5.696615,1567800
10/23/2018 4:00:00 PM,55.56,56.62,54.88,56.32,53.29333,-17.42596,1823500
10/24/2018 10:00:00 AM,55.87,56.88,55.38,56.72,54.30949,-12.22042,2527700
10/24/2018 11:00:00 AM,56.72,58.74,56.72,58.74,59.14362,33.732,3118900
10/24/2018 12:00:00 PM,58.74,60.5,57.46,57.77,56.07551,41.85112,3073300
10/24/2018 1:00:00 PM,57.77,59.43,57.3,58.4,57.61347,29.74516,1477200
10/24/2018 2:00:00 PM,58.48,60.83,58.48,59.85,60.99826,66.75622,2223100
10/24/2018 3:00:00 PM,59.85,60.88,58.88,60,61.34218,69.15511,2056700
10/24/2018 4:00:00 PM,60.04,64.78,60.03,63.83,68.88632,175.5737,3322100
10/25/2018 10:00:00 AM,62.21,64.92,61.19,61.89,62.25866,139.4642,3086300
10/25/2018 11:00:00 AM,61.89,62.32,59.88,60.97,59.34281,74.94261,2370000
10/25/2018 12:00:00 PM,60.89,61.76,59.48,60.75,58.6356,58.47305,1339800
10/25/2018 1:00:00 PM,60.78,62.5,60.66,61.67,60.74253,80.63946,1245500
10/25/2018 2:00:00 PM,61.67,62.65,60.73,60.98,58.3423,65.49614,1017200
10/25/2018 3:00:00 PM,60.98,61.26,59.11,60.22,55.73014,14.84353,1230800
10/25/2018 4:00:00 PM,60.2,61.13,59.3,61,57.81758,15.82277,1374600
10/26/2018 10:00:00 AM,67,67.61,65.66,66.37,68.74448,241.1656,2868700
10/26/2018 11:00:00 AM,66.37,70.27,66.37,70.05,73.76069,234.8682,3803400
10/26/2018 12:00:00 PM,70.07,70.25,66.4,67.22,65.10702,151.5677,2079600
10/26/2018 1:00:00 PM,67.21,67.47,63.01,64.21,57.39428,57.15914,1792000
10/26/2018 2:00:00 PM,64.17,66.48,63,65.33,59.32511,47.63697,1704400
10/26/2018 3:00:00 PM,65.33,68.3,64.92,67.88,63.3928,85.99747,1821500
10/26/2018 4:00:00 PM,67.92,68.8,64.94,66.31,59.45073,66.0943,2878700
10/29/2018 10:00:00 AM,62.9,63.3,61.76,62.13,50.45478,-36.23496,1624400
10/29/2018 11:00:00 AM,62.11,62.74,61.23,62.21,50.60882,-47.194,1413900
10/29/2018 12:00:00 PM,62.22,64.18,61.85,64.18,54.37099,-20.55452,1393800
10/29/2018 1:00:00 PM,64.18,66.26,64.07,65.02,55.91303,19.22818,2167100
10/29/2018 2:00:00 PM,65.05,65.44,63.88,64.9,55.62384,2.29704,915400
10/29/2018 3:00:00 PM,64.92,68.24,64.8,67.74,60.79253,63.0966,2142600
10/29/2018 4:00:00 PM,67.76,71.59,66.51,66.8,58.36923,97.62501,3494000
10/30/2018 10:00:00 AM,67.69,68.55,65.16,65.65,55.45671,28.46607,2019000
10/30/2018 11:00:00 AM,65.56,67.75,65.2,67.3,58.64517,49.79792,1896300
10/30/2018 12:00:00 PM,67.26,67.67,65.05,66.53,56.60872,43.52774,1544500
10/30/2018 1:00:00 PM,66.53,66.63,65,66.53,54.56807,23.82057,954500
10/30/2018 2:00:00 PM,66.6,67.52,65.81,65.91,52.91407,35.36014,1130800
10/30/2018 3:00:00 PM,65.91,66.97,65.26,65.6,52.0643,18.46714,748100
10/30/2018 4:00:00 PM,65.6,66.19,62.9,63.32,46.18913,-55.4552,1492400
10/31/2018 10:00:00 AM,61.21,61.78,60.84,61.08,41.26267,-171.7354,1055700
10/31/2018 11:00:00 AM,61.08,61.74,60.29,61.6,42.78819,-162.9552,1202600
10/31/2018 12:00:00 PM,61.56,62.25,61.07,61.88,43.63707,-126.2024,1164200
10/31/2018 1:00:00 PM,61.88,62.75,60.77,61,41.55046,-107.3782,926100
10/31/2018 2:00:00 PM,60.97,61.21,60.25,60.67,40.76329,-106.7932,722800
10/31/2018 3:00:00 PM,60.67,60.9,59.68,59.7,38.45702,-103.4983,1102200
10/31/2018 4:00:00 PM,59.7,60.8,58.66,60.23,40.43985,-93.14703,1595400
11/1/2018 10:00:00 AM,60.43,61.5,59.78,61.05,43.47428,-61.51826,1250500
11/1/2018 11:00:00 AM,61.16,61.97,59.64,59.72,39.92163,-63.63257,1444900
11/1/2018 12:00:00 PM,59.72,60.42,58.01,58.33,36.55912,-103.4342,1245700
11/1/2018 1:00:00 PM,58.31,58.91,57.89,57.93,35.62911,-125.7733,802500
11/1/2018 2:00:00 PM,57.93,58.64,57.65,58.46,37.88386,-123.4643,677900
11/1/2018 3:00:00 PM,58.46,58.75,57.85,57.94,36.5318,-118.0264,491100
11/1/2018 4:00:00 PM,57.97,58.22,57.17,57.47,35.30534,-127.7871,888900
11/2/2018 10:00:00 AM,56.01,56.01,54.61,55.79,31.2648,-182.063,1250300
11/2/2018 11:00:00 AM,55.81,59.04,55.68,57.84,40.25068,-76.61309,2052800
11/2/2018 12:00:00 PM,57.84,60.17,57.8,59.09,44.97443,-1.348168,1649800
11/2/2018 1:00:00 PM,59.1,61.16,58.97,60.77,50.62445,73.39713,1303500
11/2/2018 2:00:00 PM,60.77,61.27,59.56,60.11,48.51681,77.48413,1061100
